MATC,MATK,TEN,LOAI,GIONG,NGAYSINH,GIOITINH,TINHTRANGSUCKHOE
68,19819,John,Chó,Ta,2021-03-14,Nam,Khỏe
69,20714,Jane,Mèo,Ta,2024-01-07,Nam,Khỏe
70,7475,John,Mèo,Ta,2023-04-18,Nữ,Khỏe
71,26230,John,Mèo,Ta,2020-01-10,Nam,Khỏe
72,24653,Jane,Mèo,Ta,2021-11-06,Nữ,Khỏe
73,16279,John,Mèo,Ta,2021-10-06,Nam,Khỏe
74,2814,Jane,Chó,Ta,2022-08-06,Nữ,Khỏe
75,10181,Jane,Mèo,Ta,2022-06-07,Nam,Khỏe
76,10055,Jane,Chó,Ta,2022-09-16,Nam,Khỏe
77,17558,John,Mèo,Ta,2021-07-13,Nam,Khỏe
78,852,Jane,Chó,Ta,2023-12-10,Nữ,Khỏe
79,29945,John,Chó,Ta,2021-11-24,Nam,Khỏe
80,6367,Jane,Chó,Ta,2022-12-20,Nam,Khỏe
81,25033,John,Chó,Ta,2022-04-24,Nam,Khỏe
82,19470,John,Chó,Ta,2023-05-23,Nam,Khỏe
83,18286,Jane,Chó,Ta,2021-01-30,Nam,Khỏe
84,2579,John,Chó,Ta,2022-02-05,Nữ,Khỏe
85,7067,Jane,Chó,Ta,2022-07-05,Nam,Khỏe
86,29999,John,Mèo,Ta,2024-01-22,Nữ,Khỏe
87,6249,John,Mèo,Ta,2020-11-04,Nam,Khỏe
88,21385,Jane,Chó,Ta,2021-12-24,Nam,Khỏe
89,719,John,Mèo,Ta,2023-03-19,Nữ,Khỏe
90,19995,Jane,Mèo,Ta,2024-08-19,Nam,Khỏe
91,5684,Jane,Mèo,Ta,2023-10-25,Nữ,Khỏe
92,8598,Jane,Mèo,Ta,2024-08-20,Nữ,Khỏe
93,18492,John,Chó,Ta,2022-10-28,Nữ,Khỏe
94,24444,Jane,Mèo,Ta,2023-11-15,Nam,Khỏe
95,14554,John,Chó,Ta,2021-09-16,Nam,Khỏe
96,28484,John,Chó,Ta,2023-07-23,Nam,Khỏe
97,24414,John,Chó,Ta,2023-09-01,Nam,Khỏe
98,25079,Jane,Mèo,Ta,2022-12-26,Nữ,Khỏe
99,2766,John,Chó,Ta,2024-09-25,Nữ,Khỏe
100,14797,John,Mèo,Ta,2023-12-24,Nữ,Khỏe
101,5996,Jane,Mèo,Ta,2024-09-29,Nam,Khỏe
102,15276,Jane,Chó,Ta,2021-02-13,Nữ,Khỏe
103,19003,Jane,Chó,Ta,2023-02-08,Nam,Khỏe
104,5963,Jane,Chó,Ta,2020-09-05,Nam,Khỏe
105,14202,John,Mèo,Ta,2023-11-09,Nam,Khỏe
106,15514,John,Mèo,Ta,2024-01-02,Nam,Khỏe
107,19205,John,Mèo,Ta,2021-10-17,Nữ,Khỏe
108,4515,John,Chó,Ta,2021-05-26,Nữ,Khỏe
109,17266,John,Mèo,Ta,2021-06-02,Nữ,Khỏe
110,6017,Jane,Mèo,Ta,2023-12-10,Nữ,Khỏe
111,20168,Jane,Chó,Ta,2022-12-26,Nam,Khỏe
112,27881,John,Mèo,Ta,2023-08-12,Nữ,Khỏe
113,14703,John,Chó,Ta,2021-11-21,Nam,Khỏe
114,25050,John,Mèo,Ta,2021-02-24,Nữ,Khỏe
115,20706,Jane,Mèo,Ta,2020-08-03,Nam,Khỏe
116,20914,Jane,Chó,Ta,2021-08-02,Nữ,Khỏe
117,17058,Jane,Chó,Ta,2021-12-19,Nữ,Khỏe
118,9092,Jane,Chó,Ta,2023-11-23,Nữ,Khỏe
119,9024,Jane,Chó,Ta,2023-03-05,Nam,Khỏe
120,16444,Jane,Chó,Ta,2020-10-25,Nam,Khỏe
121,33,Jane,Mèo,Ta,2021-12-22,Nữ,Khỏe
122,4755,John,Mèo,Ta,2023-11-16,Nam,Khỏe
123,10910,Jane,Mèo,Ta,2020-04-05,Nam,Khỏe
124,11113,Jane,Chó,Ta,2024-04-18,Nữ,Khỏe
125,23353,Jane,Chó,Ta,2023-05-05,Nam,Khỏe
126,28205,Jane,Chó,Ta,2023-01-16,Nữ,Khỏe
127,875,Jane,Chó,Ta,2020-01-15,Nữ,Khỏe
128,19182,Jane,Mèo,Ta,2024-04-01,Nam,Khỏe
129,7393,John,Mèo,Ta,2022-05-28,Nữ,Khỏe
130,19021,Jane,Mèo,Ta,2021-08-25,Nữ,Khỏe
131,23572,Jane,Mèo,Ta,2020-08-10,Nữ,Khỏe
132,10426,Jane,Mèo,Ta,2022-06-07,Nữ,Khỏe
133,18120,John,Chó,Ta,2023-11-19,Nữ,Khỏe
134,8502,John,Chó,Ta,2021-03-17,Nữ,Khỏe
135,25099,John,Mèo,Ta,2021-09-16,Nữ,Khỏe
136,3515,Jane,Mèo,Ta,2023-03-12,Nam,Khỏe
137,1723,Jane,Mèo,Ta,2020-01-07,Nam,Khỏe
138,16269,John,Chó,Ta,2021-08-01,Nam,Khỏe
139,27998,John,Chó,Ta,2023-02-10,Nữ,Khỏe
140,2541,John,Chó,Ta,2024-02-24,Nữ,Khỏe
141,7423,Jane,Mèo,Ta,2024-09-29,Nam,Khỏe
142,16310,Jane,Mèo,Ta,2023-08-15,Nữ,Khỏe
143,7867,John,Mèo,Ta,2022-01-06,Nam,Khỏe
144,24531,John,Mèo,Ta,2021-03-28,Nam,Khỏe
145,9789,Jane,Chó,Ta,2023-09-14,Nam,Khỏe
146,8711,Jane,Mèo,Ta,2023-12-30,Nữ,Khỏe
147,3899,John,Chó,Ta,2021-03-28,Nữ,Khỏe
148,21909,John,Chó,Ta,2023-08-23,Nữ,Khỏe
149,10262,Jane,Mèo,Ta,2021-08-07,Nữ,Khỏe
150,18157,John,Mèo,Ta,2024-05-28,Nam,Khỏe
151,7340,Jane,Chó,Ta,2021-05-29,Nam,Khỏe
152,5389,John,Mèo,Ta,2023-12-10,Nữ,Khỏe
153,13117,Jane,Mèo,Ta,2023-12-19,Nữ,Khỏe
154,3420,Jane,Chó,Ta,2020-12-19,Nữ,Khỏe
155,19202,Jane,Mèo,Ta,2023-07-05,Nữ,Khỏe
156,8296,Jane,Mèo,Ta,2024-10-17,Nữ,Khỏe
157,8784,John,Chó,Ta,2020-04-22,Nữ,Khỏe
158,570,Jane,Chó,Ta,2020-07-26,Nam,Khỏe
159,95,John,Chó,Ta,2021-12-27,Nữ,Khỏe
160,18929,Jane,Chó,Ta,2024-06-18,Nam,Khỏe
161,10222,Jane,Mèo,Ta,2021-02-06,Nữ,Khỏe
162,14880,Jane,Chó,Ta,2020-06-05,Nữ,Khỏe
163,11610,Jane,Mèo,Ta,2022-09-11,Nữ,Khỏe
164,7267,John,Chó,Ta,2020-08-18,Nam,Khỏe
165,3759,John,Chó,Ta,2024-11-05,Nam,Khỏe
166,29320,John,Chó,Ta,2021-11-28,Nữ,Khỏe
167,16754,John,Mèo,Ta,2024-03-10,Nam,Khỏe
168,6491,John,Mèo,Ta,2022-01-21,Nữ,Khỏe
169,411,John,Mèo,Ta,2022-12-06,Nam,Khỏe
170,15294,Jane,Chó,Ta,2024-11-21,Nữ,Khỏe
171,13537,John,Mèo,Ta,2024-12-02,Nam,Khỏe
172,2835,Jane,Mèo,Ta,2023-05-17,Nam,Khỏe
173,12244,Jane,Chó,Ta,2022-07-23,Nam,Khỏe
174,9092,Jane,Mèo,Ta,2023-02-27,Nữ,Khỏe
175,20071,John,Chó,Ta,2022-11-19,Nam,Khỏe
176,7540,John,Chó,Ta,2021-08-22,Nam,Khỏe
177,25476,John,Mèo,Ta,2023-07-03,Nam,Khỏe
178,17235,John,Mèo,Ta,2020-12-11,Nam,Khỏe
179,7463,John,Chó,Ta,2024-11-01,Nam,Khỏe
180,28200,John,Mèo,Ta,2022-02-23,Nam,Khỏe
181,246,Jane,Mèo,Ta,2021-10-14,Nam,Khỏe
182,16890,Jane,Mèo,Ta,2021-05-14,Nam,Khỏe
183,14313,John,Chó,Ta,2020-02-13,Nam,Khỏe
184,24840,John,Chó,Ta,2020-10-08,Nữ,Khỏe
185,17378,John,Chó,Ta,2022-09-07,Nữ,Khỏe
186,14604,John,Mèo,Ta,2021-02-13,Nam,Khỏe
187,17899,Jane,Chó,Ta,2024-09-16,Nam,Khỏe
188,15501,Jane,Mèo,Ta,2024-04-24,Nữ,Khỏe
189,18403,Jane,Chó,Ta,2020-12-25,Nam,Khỏe
190,15002,John,Mèo,Ta,2023-11-13,Nam,Khỏe
191,8126,John,Mèo,Ta,2022-07-26,Nam,Khỏe
192,14455,Jane,Chó,Ta,2024-12-31,Nữ,Khỏe
193,2321,John,Chó,Ta,2024-08-28,Nữ,Khỏe
194,1484,John,Chó,Ta,2023-09-03,Nữ,Khỏe
195,16618,Jane,Mèo,Ta,2024-04-14,Nam,Khỏe
196,8315,John,Mèo,Ta,2021-05-12,Nam,Khỏe
197,16151,Jane,Mèo,Ta,2020-09-10,Nam,Khỏe
198,3709,John,Mèo,Ta,2023-11-29,Nữ,Khỏe
199,21559,Jane,Chó,Ta,2020-05-18,Nữ,Khỏe
200,18238,John,Chó,Ta,2022-10-03,Nữ,Khỏe
201,16994,Jane,Chó,Ta,2024-04-21,Nữ,Khỏe
202,6675,John,Chó,Ta,2021-03-07,Nữ,Khỏe
203,4814,Jane,Chó,Ta,2023-06-08,Nữ,Khỏe
204,22538,Jane,Chó,Ta,2021-06-01,Nam,Khỏe
205,16039,John,Mèo,Ta,2021-12-28,Nam,Khỏe
206,23118,John,Mèo,Ta,2024-01-22,Nam,Khỏe
207,15064,John,Chó,Ta,2024-04-12,Nam,Khỏe
208,89,John,Mèo,Ta,2024-07-12,Nữ,Khỏe
209,7630,Jane,Mèo,Ta,2021-10-28,Nữ,Khỏe
210,27375,Jane,Chó,Ta,2021-07-16,Nữ,Khỏe
211,7851,Jane,Chó,Ta,2024-11-23,Nam,Khỏe
212,28935,John,Mèo,Ta,2020-06-24,Nam,Khỏe
213,29990,John,Chó,Ta,2021-01-16,Nữ,Khỏe
214,26764,Jane,Mèo,Ta,2021-01-27,Nữ,Khỏe
215,29079,Jane,Mèo,Ta,2020-02-15,Nam,Khỏe
216,18617,John,Chó,Ta,2023-06-19,Nữ,Khỏe
217,20655,Jane,Mèo,Ta,2024-02-18,Nam,Khỏe
218,6043,John,Chó,Ta,2022-01-18,Nam,Khỏe
219,6345,John,Chó,Ta,2022-01-23,Nữ,Khỏe
220,17013,John,Chó,Ta,2023-07-11,Nữ,Khỏe
221,10027,Jane,Mèo,Ta,2024-11-09,Nam,Khỏe
222,18075,Jane,Chó,Ta,2020-12-09,Nam,Khỏe
223,17401,John,Chó,Ta,2023-09-01,Nữ,Khỏe
224,9919,John,Mèo,Ta,2022-08-16,Nam,Khỏe
225,4350,John,Chó,Ta,2021-08-21,Nữ,Khỏe
226,21906,John,Mèo,Ta,2021-10-11,Nam,Khỏe
227,22583,Jane,Mèo,Ta,2023-02-06,Nam,Khỏe
228,28483,Jane,Chó,Ta,2020-10-29,Nữ,Khỏe
229,4652,John,Mèo,Ta,2023-07-12,Nữ,Khỏe
230,12876,Jane,Chó,Ta,2021-04-16,Nam,Khỏe
231,20759,John,Chó,Ta,2024-04-15,Nữ,Khỏe
232,2216,John,Chó,Ta,2024-08-22,Nữ,Khỏe
233,26969,Jane,Chó,Ta,2024-01-29,Nữ,Khỏe
234,16752,John,Mèo,Ta,2020-06-25,Nam,Khỏe
235,12609,Jane,Mèo,Ta,2022-12-02,Nam,Khỏe
236,27223,John,Mèo,Ta,2022-05-08,Nam,Khỏe
237,24260,John,Chó,Ta,2020-03-10,Nam,Khỏe
238,27858,Jane,Chó,Ta,2023-12-02,Nam,Khỏe
239,8692,Jane,Mèo,Ta,2024-12-23,Nữ,Khỏe
240,5546,John,Chó,Ta,2023-02-03,Nữ,Khỏe
241,19203,John,Chó,Ta,2024-03-03,Nữ,Khỏe
242,21577,Jane,Mèo,Ta,2022-05-09,Nữ,Khỏe
243,13716,Jane,Chó,Ta,2024-01-05,Nam,Khỏe
244,26899,Jane,Mèo,Ta,2021-05-18,Nữ,Khỏe
245,13586,John,Mèo,Ta,2020-05-08,Nữ,Khỏe
246,3035,John,Mèo,Ta,2022-03-09,Nam,Khỏe
247,55,John,Mèo,Ta,2020-02-15,Nam,Khỏe
248,18766,John,Mèo,Ta,2020-08-11,Nam,Khỏe
249,7168,Jane,Chó,Ta,2023-07-10,Nam,Khỏe
250,26447,Jane,Chó,Ta,2022-09-17,Nữ,Khỏe
251,16269,John,Mèo,Ta,2022-03-04,Nữ,Khỏe
252,27525,Jane,Mèo,Ta,2021-01-05,Nam,Khỏe
253,27457,John,Chó,Ta,2024-01-03,Nữ,Khỏe
254,23887,John,Chó,Ta,2020-10-16,Nữ,Khỏe
255,18192,Jane,Mèo,Ta,2024-03-21,Nam,Khỏe
256,21331,Jane,Mèo,Ta,2020-07-30,Nam,Khỏe
257,16875,John,Mèo,Ta,2020-05-08,Nam,Khỏe
258,8488,Jane,Mèo,Ta,2023-11-23,Nữ,Khỏe
259,9302,Jane,Mèo,Ta,2022-10-10,Nữ,Khỏe
260,15576,John,Mèo,Ta,2024-04-29,Nữ,Khỏe
261,14297,Jane,Mèo,Ta,2024-04-04,Nữ,Khỏe
262,21561,Jane,Mèo,Ta,2023-08-06,Nữ,Khỏe
263,1631,John,Mèo,Ta,2022-10-03,Nữ,Khỏe
264,12061,Jane,Mèo,Ta,2024-05-15,Nữ,Khỏe
265,21161,John,Mèo,Ta,2022-04-13,Nam,Khỏe
266,11855,John,Mèo,Ta,2022-11-17,Nam,Khỏe
267,10772,Jane,Mèo,Ta,2022-03-01,Nam,Khỏe
268,28267,John,Mèo,Ta,2023-01-20,Nữ,Khỏe
269,14625,Jane,Chó,Ta,2021-01-02,Nam,Khỏe
270,8813,John,Mèo,Ta,2022-06-30,Nữ,Khỏe
271,29363,John,Chó,Ta,2024-12-14,Nữ,Khỏe
272,2427,Jane,Mèo,Ta,2023-04-08,Nam,Khỏe
273,956,Jane,Mèo,Ta,2020-12-06,Nữ,Khỏe
274,26677,John,Mèo,Ta,2022-09-13,Nam,Khỏe
275,10825,John,Chó,Ta,2020-05-10,Nam,Khỏe
276,29744,John,Mèo,Ta,2023-10-13,Nam,Khỏe
277,17942,Jane,Mèo,Ta,2022-07-02,Nam,Khỏe
278,14892,John,Mèo,Ta,2022-08-07,Nam,Khỏe
279,21032,Jane,Chó,Ta,2023-07-04,Nam,Khỏe
280,27330,John,Chó,Ta,2024-02-29,Nam,Khỏe
281,26805,John,Mèo,Ta,2022-03-24,Nam,Khỏe
282,132,John,Mèo,Ta,2021-06-13,Nữ,Khỏe
283,20471,John,Chó,Ta,2024-12-06,Nam,Khỏe
284,957,John,Mèo,Ta,2023-06-16,Nữ,Khỏe
285,4996,John,Mèo,Ta,2023-01-10,Nữ,Khỏe
286,28803,John,Chó,Ta,2020-12-29,Nam,Khỏe
287,15280,Jane,Mèo,Ta,2024-05-05,Nữ,Khỏe
288,8742,Jane,Mèo,Ta,2023-07-26,Nam,Khỏe
289,8463,Jane,Chó,Ta,2020-12-01,Nữ,Khỏe
290,233,Jane,Chó,Ta,2023-07-10,Nữ,Khỏe
291,26820,Jane,Chó,Ta,2024-01-10,Nữ,Khỏe
292,21829,John,Mèo,Ta,2023-05-11,Nữ,Khỏe
293,11389,John,Chó,Ta,2022-02-02,Nữ,Khỏe
294,18007,Jane,Chó,Ta,2024-07-28,Nam,Khỏe
295,580,John,Mèo,Ta,2022-05-01,Nam,Khỏe
296,16280,John,Mèo,Ta,2022-03-04,Nam,Khỏe
297,17137,John,Chó,Ta,2021-09-21,Nữ,Khỏe
298,17841,John,Mèo,Ta,2021-04-23,Nữ,Khỏe
299,21196,Jane,Mèo,Ta,2020-11-06,Nam,Khỏe
300,15438,Jane,Mèo,Ta,2023-12-20,Nam,Khỏe
301,8064,Jane,Chó,Ta,2024-12-16,Nữ,Khỏe
302,27326,John,Chó,Ta,2021-08-05,Nam,Khỏe
303,17973,John,Mèo,Ta,2023-06-11,Nam,Khỏe
304,26396,Jane,Chó,Ta,2023-09-30,Nam,Khỏe
305,14135,John,Chó,Ta,2023-07-15,Nữ,Khỏe
306,20856,John,Chó,Ta,2021-11-20,Nữ,Khỏe
307,10184,John,Chó,Ta,2024-04-25,Nữ,Khỏe
308,6239,Jane,Chó,Ta,2020-04-26,Nam,Khỏe
309,18788,John,Chó,Ta,2021-10-09,Nam,Khỏe
310,14274,Jane,Mèo,Ta,2022-05-08,Nữ,Khỏe
311,1918,John,Mèo,Ta,2024-05-16,Nam,Khỏe
312,3299,Jane,Chó,Ta,2021-02-04,Nữ,Khỏe
313,26234,John,Chó,Ta,2020-05-30,Nam,Khỏe
314,11801,Jane,Mèo,Ta,2024-01-17,Nam,Khỏe
315,24998,John,Chó,Ta,2021-02-10,Nữ,Khỏe
316,3027,Jane,Chó,Ta,2024-07-15,Nam,Khỏe
317,28006,Jane,Mèo,Ta,2023-07-31,Nam,Khỏe
318,29459,Jane,Mèo,Ta,2020-09-08,Nam,Khỏe
319,2283,Jane,Chó,Ta,2020-03-27,Nữ,Khỏe
320,19760,Jane,Chó,Ta,2023-10-30,Nam,Khỏe
321,10361,John,Chó,Ta,2023-10-06,Nữ,Khỏe
322,17657,Jane,Mèo,Ta,2024-01-01,Nam,Khỏe
323,5393,Jane,Mèo,Ta,2020-05-25,Nam,Khỏe
324,29420,Jane,Mèo,Ta,2020-09-03,Nữ,Khỏe
325,23251,Jane,Chó,Ta,2021-06-11,Nam,Khỏe
326,22317,Jane,Mèo,Ta,2022-06-25,Nam,Khỏe
327,5062,Jane,Chó,Ta,2020-07-02,Nam,Khỏe
328,3244,Jane,Mèo,Ta,2024-01-19,Nam,Khỏe
329,20399,John,Chó,Ta,2023-05-29,Nam,Khỏe
330,24249,John,Mèo,Ta,2021-07-31,Nữ,Khỏe
331,2934,John,Mèo,Ta,2021-12-02,Nữ,Khỏe
332,15234,John,Chó,Ta,2022-12-07,Nữ,Khỏe
333,9475,Jane,Chó,Ta,2021-10-28,Nam,Khỏe
334,29073,John,Mèo,Ta,2021-12-09,Nam,Khỏe
335,17109,Jane,Chó,Ta,2020-06-14,Nam,Khỏe
336,10651,John,Chó,Ta,2022-07-25,Nữ,Khỏe
337,28666,Jane,Chó,Ta,2021-07-04,Nam,Khỏe
338,19958,Jane,Chó,Ta,2022-09-13,Nam,Khỏe
339,23558,John,Mèo,Ta,2023-03-28,Nam,Khỏe
340,14394,John,Chó,Ta,2020-09-21,Nữ,Khỏe
341,5514,John,Mèo,Ta,2021-11-14,Nam,Khỏe
342,20164,John,Mèo,Ta,2024-07-04,Nam,Khỏe
343,29309,Jane,Chó,Ta,2023-01-15,Nam,Khỏe
344,11370,John,Chó,Ta,2024-03-17,Nữ,Khỏe
345,6522,John,Chó,Ta,2022-11-05,Nam,Khỏe
346,16689,John,Chó,Ta,2023-10-29,Nam,Khỏe
347,21332,Jane,Mèo,Ta,2020-07-06,Nam,Khỏe
348,26289,Jane,Chó,Ta,2023-12-23,Nữ,Khỏe
349,1945,John,Chó,Ta,2022-05-31,Nữ,Khỏe
350,24367,Jane,Mèo,Ta,2024-11-08,Nữ,Khỏe
351,21048,John,Mèo,Ta,2021-06-30,Nam,Khỏe
352,9257,John,Mèo,Ta,2023-09-23,Nam,Khỏe
353,25235,Jane,Chó,Ta,2021-09-03,Nữ,Khỏe
354,27801,John,Mèo,Ta,2024-03-07,Nữ,Khỏe
355,11399,Jane,Chó,Ta,2020-07-05,Nữ,Khỏe
356,28960,Jane,Chó,Ta,2023-07-25,Nam,Khỏe
357,20978,John,Chó,Ta,2023-11-10,Nữ,Khỏe
358,104,John,Mèo,Ta,2023-12-23,Nữ,Khỏe
359,21238,Jane,Mèo,Ta,2023-03-26,Nam,Khỏe
360,28473,John,Chó,Ta,2022-02-14,Nam,Khỏe
361,25166,Jane,Chó,Ta,2023-06-27,Nam,Khỏe
362,19737,John,Chó,Ta,2022-05-20,Nữ,Khỏe
363,11017,John,Chó,Ta,2022-10-28,Nữ,Khỏe
364,6550,John,Mèo,Ta,2023-05-12,Nam,Khỏe
365,17234,John,Mèo,Ta,2024-12-20,Nam,Khỏe
366,10960,John,Mèo,Ta,2020-06-01,Nữ,Khỏe
367,21569,John,Mèo,Ta,2024-04-14,Nữ,Khỏe
368,26471,John,Chó,Ta,2022-03-12,Nữ,Khỏe
369,9906,Jane,Chó,Ta,2020-12-06,Nam,Khỏe
370,13240,Jane,Chó,Ta,2024-07-08,Nam,Khỏe
371,4734,John,Mèo,Ta,2020-04-06,Nam,Khỏe
372,13176,John,Mèo,Ta,2020-01-07,Nam,Khỏe
373,10291,John,Mèo,Ta,2022-09-10,Nam,Khỏe
374,23859,Jane,Chó,Ta,2023-12-04,Nữ,Khỏe
375,11407,John,Mèo,Ta,2022-04-27,Nữ,Khỏe
376,8179,John,Mèo,Ta,2022-01-05,Nữ,Khỏe
377,23,Jane,Chó,Ta,2023-07-28,Nữ,Khỏe
378,17889,John,Mèo,Ta,2020-03-15,Nam,Khỏe
379,11349,John,Chó,Ta,2021-11-05,Nữ,Khỏe
380,27446,Jane,Mèo,Ta,2022-05-23,Nam,Khỏe
381,22086,John,Mèo,Ta,2024-03-09,Nữ,Khỏe
382,25821,John,Mèo,Ta,2024-01-03,Nam,Khỏe
383,13704,John,Mèo,Ta,2021-01-18,Nam,Khỏe
384,16150,John,Mèo,Ta,2023-08-08,Nữ,Khỏe
385,5456,Jane,Mèo,Ta,2023-05-11,Nữ,Khỏe
386,25078,John,Chó,Ta,2022-05-04,Nam,Khỏe
387,29390,Jane,Chó,Ta,2021-10-02,Nam,Khỏe
388,11999,Jane,Chó,Ta,2024-08-17,Nữ,Khỏe
389,9508,Jane,Chó,Ta,2022-05-26,Nam,Khỏe
390,14263,John,Chó,Ta,2021-04-07,Nữ,Khỏe
391,17394,Jane,Chó,Ta,2023-05-18,Nữ,Khỏe
392,24165,Jane,Mèo,Ta,2024-11-08,Nữ,Khỏe
393,9629,Jane,Chó,Ta,2024-04-19,Nữ,Khỏe
394,19619,John,Chó,Ta,2021-08-04,Nam,Khỏe
395,12969,John,Mèo,Ta,2020-08-08,Nữ,Khỏe
396,16918,Jane,Chó,Ta,2020-08-08,Nữ,Khỏe
397,662,John,Chó,Ta,2023-08-10,Nữ,Khỏe
398,12430,Jane,Mèo,Ta,2020-07-27,Nam,Khỏe
399,29073,Jane,Mèo,Ta,2020-02-10,Nữ,Khỏe
400,10735,Jane,Mèo,Ta,2024-12-01,Nam,Khỏe
401,6834,Jane,Mèo,Ta,2021-01-27,Nam,Khỏe
402,28217,John,Mèo,Ta,2021-12-27,Nam,Khỏe
403,14089,Jane,Chó,Ta,2024-02-26,Nam,Khỏe
404,11116,Jane,Mèo,Ta,2024-02-14,Nữ,Khỏe
405,19228,Jane,Chó,Ta,2020-10-26,Nam,Khỏe
406,25351,John,Chó,Ta,2021-12-21,Nam,Khỏe
407,25133,John,Mèo,Ta,2023-08-13,Nữ,Khỏe
408,2396,John,Mèo,Ta,2021-10-05,Nam,Khỏe
409,1051,John,Chó,Ta,2023-09-01,Nữ,Khỏe
