MADK,MAGT,MATC,NGAYDANGKY,NGAYHETHAN,SOMUIDATIEM
548,14,1991,2022-08-14,,2
549,14,33031,2023-02-24,,3
550,9,36869,2024-08-29,,3
551,20,27351,2022-02-12,,4
552,9,6677,2022-05-06,,5
553,3,34348,2024-04-01,,4
554,6,4930,2024-08-20,,0
555,19,36903,2023-12-13,,2
556,10,25054,2024-03-25,,3
557,7,15154,2024-02-18,,5
558,13,3938,2023-10-21,,3
559,4,17198,2023-02-22,,1
560,4,23733,2022-08-26,,3
561,6,8118,2024-07-22,,2
562,6,42084,2024-05-24,,5
563,5,24808,2022-12-27,,5
564,18,15260,2023-04-20,,1
565,4,4348,2024-08-12,,2
566,12,7217,2024-02-04,,1
567,10,12343,2023-02-24,,2
568,7,41318,2023-11-17,,4
569,20,18255,2024-11-16,,0
570,14,37436,2022-03-06,,5
571,10,1009,2022-09-19,,2
572,2,1913,2024-01-25,,3
573,18,131,2023-07-12,,2
574,3,18004,2022-04-23,,4
575,16,3755,2024-04-07,,0
576,5,6789,2023-02-04,,0
577,1,24995,2022-10-25,,2
578,4,19574,2022-08-31,,2
579,3,40385,2022-12-27,,1
580,4,25245,2024-02-01,,4
581,15,17501,2023-08-12,,0
582,7,41542,2023-05-30,,4
583,15,13692,2024-03-31,,3
584,4,2206,2024-04-18,,2
585,18,2112,2022-11-19,,3
586,16,29542,2024-07-30,,0
587,16,42563,2024-09-28,,4
588,1,36038,2022-08-07,,4
589,5,28673,2024-04-20,,3
590,20,529,2022-03-27,,0
591,4,1074,2022-10-30,,1
592,20,4417,2022-03-13,,2
593,19,18046,2024-09-01,,1
594,10,39224,2023-06-15,,2
595,18,33648,2022-08-11,,4
596,6,11843,2024-12-26,,3
597,19,29856,2024-08-29,,0
598,4,28393,2022-05-07,,0
599,13,39112,2024-09-30,,5
600,8,41512,2024-04-13,,2
601,11,41172,2022-08-04,,5
602,9,17392,2022-05-22,,4
603,1,4943,2023-11-08,,3
604,1,37669,2022-10-24,,1
605,10,23863,2024-12-22,,2
606,7,35407,2024-01-04,,4
607,13,25330,2023-12-09,,2
608,16,2187,2022-05-16,,1
609,9,21567,2022-08-31,,1
610,1,43109,2023-02-12,,5
611,4,29734,2023-05-05,,4
612,18,20017,2022-06-18,,3
613,17,40751,2023-06-27,,3
614,18,36235,2022-09-06,,2
615,10,9246,2022-11-29,,4
616,7,37371,2023-05-16,,0
617,6,17737,2022-11-08,,5
618,12,41163,2022-01-14,,0
619,8,15382,2024-04-14,,2
620,20,880,2024-07-27,,1
621,6,23027,2024-06-06,,5
622,11,7181,2024-03-12,,5
623,15,19678,2024-10-02,,3
624,7,43988,2024-06-12,,1
625,20,39233,2023-12-24,,5
626,8,19274,2022-01-06,,2
627,6,8639,2023-07-04,,2
628,20,7620,2024-09-30,,5
629,11,15430,2023-11-09,,3
630,7,42140,2023-08-04,,0
631,5,14364,2024-07-30,,0
632,13,38928,2023-09-07,,2
633,13,32836,2023-03-17,,5
634,6,12534,2024-04-18,,0
635,2,11952,2023-06-12,,4
636,19,5183,2023-11-29,,4
637,3,42770,2023-09-28,,4
638,16,35002,2024-07-12,,3
639,16,33179,2024-08-13,,4
640,15,16518,2024-06-02,,3
641,2,39597,2023-04-15,,4
642,14,8854,2022-10-24,,1
643,6,41703,2022-01-11,,4
644,18,13677,2024-05-08,,4
645,17,8682,2024-02-07,,5
646,9,36861,2024-03-22,,4
647,9,31305,2023-07-20,,3
648,9,44601,2022-06-10,,0
649,9,18745,2023-06-14,,4
650,12,5671,2022-11-01,,4
651,10,8527,2024-10-20,,0
652,10,23,2023-06-13,,4
653,13,2220,2024-09-22,,4
654,3,12564,2024-07-09,,2
655,5,19754,2024-05-15,,1
656,6,32141,2024-03-06,,5
657,3,5820,2023-02-03,,2
658,11,8320,2023-09-15,,0
659,16,23539,2023-09-19,,2
660,15,31269,2024-06-09,,3
661,16,16534,2024-01-17,,3
662,18,29345,2023-09-03,,1
663,18,30771,2023-05-13,,5
664,2,11778,2022-08-14,,1
665,15,27766,2022-12-27,,0
666,7,1137,2023-07-06,,0
667,4,380,2024-08-07,,5
668,19,23994,2024-05-27,,0
669,16,37511,2022-06-01,,0
670,7,22926,2024-01-03,,3
671,1,25413,2022-07-14,,5
672,19,2290,2022-08-18,,4
673,16,35450,2023-01-14,,2
674,19,24392,2023-04-01,,2
675,7,24490,2022-06-28,,0
676,2,4480,2024-02-26,,4
677,10,30029,2023-03-25,,1
678,16,9282,2023-06-02,,4
679,13,30794,2022-09-21,,3
680,4,16924,2024-02-09,,5
681,17,119,2023-05-22,,2
682,9,17432,2024-09-14,,5
683,8,44650,2024-09-15,,4
684,18,21737,2024-07-09,,2
685,19,34957,2022-12-15,,3
686,6,36161,2022-01-13,,5
687,5,6025,2022-06-05,,4
688,17,34584,2022-08-16,,5
689,2,25575,2023-06-14,,3
690,4,6467,2024-12-26,,1
691,6,37520,2024-05-12,,2
692,14,23665,2024-03-12,,2
693,16,17451,2023-09-06,,2
694,17,35760,2022-11-24,,1
695,10,6304,2024-08-22,,4
696,8,36953,2023-05-28,,0
697,18,19561,2022-09-05,,3
698,5,37944,2024-06-06,,3
699,19,24209,2024-10-23,,5
700,5,35449,2024-06-05,,2
701,9,29423,2022-09-01,,0
702,8,28428,2024-07-22,,1
703,10,2859,2022-12-08,,3
704,18,5245,2023-10-30,,4
705,11,11500,2023-06-22,,5
706,2,9222,2023-09-13,,1
707,1,24087,2023-01-02,,3
708,6,4624,2024-06-14,,2
709,3,20427,2023-08-03,,4
710,19,8624,2022-05-30,,3
711,4,34031,2024-11-03,,1
712,18,16146,2024-08-17,,3
713,2,36869,2024-07-27,,0
714,18,14731,2024-06-01,,2
715,18,17227,2023-02-27,,1
716,14,9377,2022-11-11,,0
717,7,22545,2022-06-27,,5
718,5,7772,2022-12-08,,5
719,14,2981,2022-08-27,,3
720,12,11272,2022-01-28,,5
721,16,42346,2022-11-29,,0
722,15,26128,2022-01-22,,0
723,4,12298,2023-07-28,,4
724,8,41439,2023-02-01,,4
725,12,17698,2022-09-20,,4
726,6,25399,2023-11-30,,2
727,16,18012,2024-12-10,,3
728,6,8050,2024-12-13,,1
729,7,2365,2023-11-02,,4
730,12,18779,2024-11-09,,0
731,20,40388,2023-02-28,,0
732,15,27942,2023-07-30,,0
733,15,28223,2024-12-31,,0
734,13,20064,2024-07-01,,0
735,17,21572,2024-12-10,,5
736,11,40003,2022-05-27,,5
737,6,36734,2024-03-29,,1
738,8,30282,2022-10-27,,1
739,1,44010,2022-06-20,,1
740,5,16236,2023-07-10,,1
741,11,43690,2022-11-26,,3
742,1,6353,2022-08-02,,1
743,17,8702,2023-10-21,,2
744,13,17181,2022-08-20,,5
745,18,30212,2022-11-06,,2
746,2,42556,2024-11-02,,2
747,19,33701,2024-06-08,,2
748,1,29212,2023-11-23,,1
749,9,43654,2023-02-04,,2
750,4,17561,2023-04-11,,2
751,16,30901,2023-01-26,,0
752,8,10624,2024-05-22,,3
753,6,37346,2022-08-08,,5
754,17,43539,2023-03-11,,4
755,7,2625,2023-02-22,,2
756,8,13657,2022-09-05,,4
757,18,3688,2023-11-20,,5
758,20,29881,2024-06-17,,0
759,2,28938,2023-04-30,,5
760,7,17177,2022-11-03,,4
761,13,35168,2023-11-18,,1
762,17,34375,2023-03-07,,4
763,13,23266,2022-11-14,,4
764,14,21549,2023-02-12,,0
765,3,36025,2023-06-19,,3
766,15,40172,2022-12-13,,2
767,7,20619,2024-10-08,,2
768,4,15252,2023-09-12,,5
769,13,16419,2023-03-27,,5
770,17,15251,2022-05-01,,3
771,7,12000,2022-09-25,,1
772,17,30858,2024-02-25,,2
773,14,40170,2023-10-18,,4
774,2,43395,2022-02-27,,0
775,7,42283,2024-10-10,,5
776,11,13252,2024-06-14,,1
777,15,19912,2024-09-23,,5
778,15,13125,2024-02-09,,0
779,8,11268,2023-01-25,,2
780,1,15214,2024-09-26,,5
781,19,10149,2022-02-07,,0
782,7,24419,2023-02-26,,5
783,20,12672,2023-07-27,,4
784,19,20056,2023-02-26,,4
785,20,3992,2022-11-17,,1
786,9,28525,2023-07-20,,0
787,12,33036,2022-07-16,,1
788,4,29037,2024-02-29,,3
789,17,3491,2023-01-18,,1
790,9,18502,2023-06-27,,1
791,18,19756,2023-06-12,,0
792,5,21310,2023-10-25,,3
793,5,24191,2024-04-30,,5
794,8,32311,2024-06-06,,2
795,4,36942,2022-08-07,,2
796,11,31371,2023-11-27,,1
797,17,39810,2024-06-15,,4
798,14,8465,2023-03-16,,1
799,15,35723,2024-01-12,,4
800,9,11897,2024-08-12,,2
801,17,42952,2023-10-30,,3
802,13,12907,2022-11-25,,1
803,2,39644,2022-08-31,,2
804,4,41159,2022-03-29,,2
805,2,22993,2024-09-03,,0
806,1,41322,2024-10-07,,3
807,19,29082,2022-06-04,,2
808,4,24096,2022-08-03,,3
809,17,28478,2022-06-23,,4
810,11,3424,2022-09-26,,2
811,5,43847,2022-07-26,,1
812,13,44383,2023-11-15,,2
813,12,41263,2023-01-05,,3
814,10,32415,2022-10-12,,5
815,19,5392,2022-10-20,,3
816,10,8055,2023-09-01,,2
817,12,1734,2023-04-24,,4
818,19,22332,2023-02-10,,4
819,11,34003,2022-05-19,,4
