MADG,MATK,DIEMDG,THAIDONV,MUCDOHAILONG,BINHLUAN
139,8454,5,1,1,Dịch vụ tốt
140,19626,7,1,5,Dịch vụ tốt
141,7749,7,2,7,Dịch vụ tốt
142,5198,10,10,2,Dịch vụ tốt
143,22651,6,9,5,Dịch vụ tốt
144,29684,5,7,2,Dịch vụ tốt
145,24865,8,8,6,Dịch vụ tốt
146,14473,2,6,9,Dịch vụ tốt
147,25706,10,8,7,Dịch vụ tốt
148,2456,1,6,6,Dịch vụ tốt
149,18955,10,4,9,Dịch vụ tốt
150,21212,5,9,8,Dịch vụ tốt
151,12686,10,7,3,Dịch vụ tốt
152,306,8,10,8,Dịch vụ tốt
153,5124,3,9,10,Dịch vụ tốt
154,27842,2,1,5,Dịch vụ tốt
155,28971,2,7,7,Dịch vụ tốt
156,22576,3,6,9,Dịch vụ tốt
157,25103,3,2,10,Dịch vụ tốt
158,24000,8,10,3,Dịch vụ tốt
159,11242,10,4,7,Dịch vụ tốt
160,4126,7,2,3,Dịch vụ tốt
161,20434,6,1,4,Dịch vụ tốt
162,3444,8,8,2,Dịch vụ tốt
163,24349,1,9,9,Dịch vụ tốt
164,15003,9,9,1,Dịch vụ tốt
165,8778,9,8,1,Dịch vụ tốt
166,3,8,9,9,Dịch vụ tốt
167,13058,7,8,2,Dịch vụ tốt
168,6988,7,10,4,Dịch vụ tốt
169,7400,8,4,6,Dịch vụ tốt
170,14746,8,5,7,Dịch vụ tốt
171,8972,6,8,3,Dịch vụ tốt
172,16678,5,10,1,Dịch vụ tốt
173,5206,8,10,7,Dịch vụ tốt
174,14235,7,2,9,Dịch vụ tốt
175,12108,6,1,5,Dịch vụ tốt
176,8996,1,8,4,Dịch vụ tốt
177,9163,7,4,1,Dịch vụ tốt
178,22655,9,3,6,Dịch vụ tốt
179,7677,6,2,5,Dịch vụ tốt
180,2633,9,6,2,Dịch vụ tốt
181,18915,1,2,4,Dịch vụ tốt
182,21697,2,8,5,Dịch vụ tốt
183,1655,9,10,9,Dịch vụ tốt
184,242,1,5,4,Dịch vụ tốt
185,1538,3,10,9,Dịch vụ tốt
186,11509,7,1,3,Dịch vụ tốt
187,7823,8,3,8,Dịch vụ tốt
188,20748,7,7,10,Dịch vụ tốt
189,12093,8,9,10,Dịch vụ tốt
190,554,1,3,9,Dịch vụ tốt
191,4657,9,8,3,Dịch vụ tốt
192,3585,6,10,4,Dịch vụ tốt
193,11801,2,6,10,Dịch vụ tốt
194,9274,7,4,7,Dịch vụ tốt
195,122,10,8,3,Dịch vụ tốt
196,9130,3,3,4,Dịch vụ tốt
197,2058,1,10,7,Dịch vụ tốt
198,29960,7,8,3,Dịch vụ tốt
199,2478,7,2,5,Dịch vụ tốt
200,29100,4,8,2,Dịch vụ tốt
201,824,3,8,9,Dịch vụ tốt
202,26850,10,8,2,Dịch vụ tốt
203,13801,9,10,9,Dịch vụ tốt
204,24330,5,7,4,Dịch vụ tốt
205,18388,7,5,6,Dịch vụ tốt
206,5371,3,7,5,Dịch vụ tốt
207,13176,2,6,5,Dịch vụ tốt
208,3682,10,5,6,Dịch vụ tốt
209,23316,1,6,4,Dịch vụ tốt
210,14258,4,3,1,Dịch vụ tốt
211,12891,5,1,6,Dịch vụ tốt
212,9186,9,3,1,Dịch vụ tốt
213,23844,10,6,10,Dịch vụ tốt
214,1167,2,1,5,Dịch vụ tốt
215,22532,9,6,10,Dịch vụ tốt
216,12990,3,10,9,Dịch vụ tốt
217,7335,7,1,9,Dịch vụ tốt
218,11847,5,7,10,Dịch vụ tốt
219,15856,2,7,6,Dịch vụ tốt
220,5513,7,6,8,Dịch vụ tốt
221,15882,7,4,9,Dịch vụ tốt
222,18386,3,10,5,Dịch vụ tốt
223,15932,10,8,8,Dịch vụ tốt
224,22465,8,8,2,Dịch vụ tốt
225,861,2,10,7,Dịch vụ tốt
226,22749,10,7,7,Dịch vụ tốt
227,10041,6,2,6,Dịch vụ tốt
228,18990,5,2,10,Dịch vụ tốt
229,16363,1,7,6,Dịch vụ tốt
230,9878,2,8,10,Dịch vụ tốt
231,23330,6,4,7,Dịch vụ tốt
232,21510,5,6,5,Dịch vụ tốt
233,11204,7,5,1,Dịch vụ tốt
234,23944,10,8,1,Dịch vụ tốt
235,28912,9,4,8,Dịch vụ tốt
236,9254,3,6,8,Dịch vụ tốt
237,12807,9,3,6,Dịch vụ tốt
238,8027,4,2,6,Dịch vụ tốt
239,10954,7,9,9,Dịch vụ tốt
240,16104,1,10,7,Dịch vụ tốt
241,22846,1,5,6,Dịch vụ tốt
242,7737,10,8,3,Dịch vụ tốt
243,10749,10,9,3,Dịch vụ tốt
244,6258,7,3,9,Dịch vụ tốt
245,29891,2,7,4,Dịch vụ tốt
246,713,7,2,1,Dịch vụ tốt
247,5394,7,7,8,Dịch vụ tốt
248,10944,3,1,1,Dịch vụ tốt
249,6285,2,9,7,Dịch vụ tốt
250,29969,5,1,3,Dịch vụ tốt
251,20229,8,6,10,Dịch vụ tốt
252,630,5,10,6,Dịch vụ tốt
253,17881,6,10,2,Dịch vụ tốt
254,7261,4,2,9,Dịch vụ tốt
255,29624,2,2,5,Dịch vụ tốt
256,25903,10,2,9,Dịch vụ tốt
257,5280,2,5,3,Dịch vụ tốt
258,16444,6,3,5,Dịch vụ tốt
259,25801,10,2,2,Dịch vụ tốt
260,3788,9,6,6,Dịch vụ tốt
261,3147,6,10,9,Dịch vụ tốt
262,11614,6,2,2,Dịch vụ tốt
263,15663,9,2,5,Dịch vụ tốt
264,14341,6,4,7,Dịch vụ tốt
265,26231,7,6,8,Dịch vụ tốt
266,466,1,2,2,Dịch vụ tốt
267,26973,2,7,9,Dịch vụ tốt
268,16546,8,7,8,Dịch vụ tốt
269,23336,9,1,7,Dịch vụ tốt
270,11742,4,4,3,Dịch vụ tốt
271,19326,8,4,1,Dịch vụ tốt
272,14371,6,1,2,Dịch vụ tốt
273,5926,3,3,6,Dịch vụ tốt
274,3041,10,4,1,Dịch vụ tốt
275,13907,6,1,7,Dịch vụ tốt
276,6649,7,7,9,Dịch vụ tốt
277,7774,2,10,7,Dịch vụ tốt
278,2191,6,3,4,Dịch vụ tốt
279,4009,9,5,10,Dịch vụ tốt
280,17244,5,4,2,Dịch vụ tốt
281,29424,5,9,10,Dịch vụ tốt
282,12551,3,2,8,Dịch vụ tốt
283,1906,5,2,10,Dịch vụ tốt
284,29678,8,4,1,Dịch vụ tốt
285,10908,1,7,3,Dịch vụ tốt
286,20496,3,1,8,Dịch vụ tốt
287,19159,10,5,7,Dịch vụ tốt
288,5714,4,4,4,Dịch vụ tốt
289,2343,9,10,8,Dịch vụ tốt
290,25546,10,1,8,Dịch vụ tốt
291,1989,7,10,4,Dịch vụ tốt
292,20826,8,6,2,Dịch vụ tốt
293,5223,10,1,7,Dịch vụ tốt
294,13067,10,5,5,Dịch vụ tốt
295,23064,8,5,3,Dịch vụ tốt
296,10911,7,2,5,Dịch vụ tốt
297,29488,10,1,8,Dịch vụ tốt
298,18434,3,3,1,Dịch vụ tốt
299,20620,10,9,1,Dịch vụ tốt
300,10995,9,4,3,Dịch vụ tốt
301,26484,8,6,10,Dịch vụ tốt
302,19530,6,8,3,Dịch vụ tốt
303,19105,4,1,5,Dịch vụ tốt
304,26360,10,5,1,Dịch vụ tốt
305,27647,1,8,8,Dịch vụ tốt
306,19958,7,2,7,Dịch vụ tốt
307,26168,3,9,6,Dịch vụ tốt
308,27134,10,7,5,Dịch vụ tốt
309,15097,9,6,9,Dịch vụ tốt
310,27364,3,8,9,Dịch vụ tốt
311,21098,6,1,10,Dịch vụ tốt
312,12719,8,9,1,Dịch vụ tốt
313,587,8,9,1,Dịch vụ tốt
314,14225,4,6,6,Dịch vụ tốt
315,23035,1,5,1,Dịch vụ tốt
316,11131,7,1,7,Dịch vụ tốt
317,3952,1,4,3,Dịch vụ tốt
318,17347,4,7,1,Dịch vụ tốt
319,25875,10,6,7,Dịch vụ tốt
320,29011,1,1,3,Dịch vụ tốt
321,23029,5,7,8,Dịch vụ tốt
322,18075,3,5,1,Dịch vụ tốt
323,5491,1,7,5,Dịch vụ tốt
324,16880,3,2,2,Dịch vụ tốt
325,3562,2,2,3,Dịch vụ tốt
326,29753,2,6,1,Dịch vụ tốt
327,18685,2,5,5,Dịch vụ tốt
328,5599,5,8,1,Dịch vụ tốt
329,19519,1,1,5,Dịch vụ tốt
330,17268,8,8,5,Dịch vụ tốt
331,4702,2,9,7,Dịch vụ tốt
332,27933,6,6,1,Dịch vụ tốt
333,2685,2,9,2,Dịch vụ tốt
334,24236,10,7,3,Dịch vụ tốt
335,10976,6,5,5,Dịch vụ tốt
336,29004,9,7,1,Dịch vụ tốt
337,4861,3,10,1,Dịch vụ tốt
338,1375,10,3,8,Dịch vụ tốt
339,26817,6,4,1,Dịch vụ tốt
340,6180,5,6,3,Dịch vụ tốt
341,4052,7,9,3,Dịch vụ tốt
342,23555,7,6,1,Dịch vụ tốt
343,22102,2,1,1,Dịch vụ tốt
344,24512,1,9,1,Dịch vụ tốt
345,336,8,4,2,Dịch vụ tốt
346,19307,2,3,7,Dịch vụ tốt
347,3592,6,5,8,Dịch vụ tốt
348,25303,1,7,4,Dịch vụ tốt
349,22634,4,10,8,Dịch vụ tốt
350,5557,10,9,4,Dịch vụ tốt
351,15657,5,7,4,Dịch vụ tốt
352,10149,6,4,9,Dịch vụ tốt
353,21707,5,10,9,Dịch vụ tốt
354,17948,10,5,4,Dịch vụ tốt
355,5757,2,1,8,Dịch vụ tốt
356,12431,2,8,3,Dịch vụ tốt
357,25526,1,8,2,Dịch vụ tốt
358,28227,9,4,3,Dịch vụ tốt
359,2245,1,10,2,Dịch vụ tốt
360,29255,10,6,3,Dịch vụ tốt
361,26661,9,9,8,Dịch vụ tốt
362,9335,5,9,6,Dịch vụ tốt
363,28556,3,2,7,Dịch vụ tốt
364,15368,2,8,8,Dịch vụ tốt
365,12300,2,1,2,Dịch vụ tốt
366,6688,2,7,8,Dịch vụ tốt
367,12768,1,3,8,Dịch vụ tốt
368,22659,5,5,4,Dịch vụ tốt
369,21849,5,6,1,Dịch vụ tốt
370,12046,4,2,6,Dịch vụ tốt
371,13296,5,6,3,Dịch vụ tốt
372,14103,4,8,1,Dịch vụ tốt
373,18547,9,3,9,Dịch vụ tốt
374,10916,5,1,2,Dịch vụ tốt
375,23463,1,5,2,Dịch vụ tốt
376,3793,6,2,8,Dịch vụ tốt
377,17041,4,3,1,Dịch vụ tốt
378,20260,2,1,6,Dịch vụ tốt
379,993,4,7,1,Dịch vụ tốt
380,20283,3,7,5,Dịch vụ tốt
381,21073,9,3,4,Dịch vụ tốt
382,26532,7,2,10,Dịch vụ tốt
383,25285,1,10,9,Dịch vụ tốt
384,10330,8,4,7,Dịch vụ tốt
385,3292,4,3,2,Dịch vụ tốt
386,11658,4,6,1,Dịch vụ tốt
387,18059,8,7,9,Dịch vụ tốt
388,7006,2,8,3,Dịch vụ tốt
389,12438,10,2,10,Dịch vụ tốt
390,543,2,1,9,Dịch vụ tốt
391,25319,3,1,5,Dịch vụ tốt
392,10654,4,3,2,Dịch vụ tốt
393,29342,1,6,6,Dịch vụ tốt
394,23821,9,1,8,Dịch vụ tốt
395,2179,6,6,1,Dịch vụ tốt
396,26166,5,6,10,Dịch vụ tốt
397,24553,7,8,6,Dịch vụ tốt
398,7223,3,2,5,Dịch vụ tốt
399,12384,8,10,10,Dịch vụ tốt
400,29550,6,8,4,Dịch vụ tốt
401,19030,4,2,5,Dịch vụ tốt
402,29735,5,1,10,Dịch vụ tốt
403,13415,7,5,2,Dịch vụ tốt
404,14880,3,8,7,Dịch vụ tốt
405,10874,5,10,3,Dịch vụ tốt
406,15676,9,7,2,Dịch vụ tốt
407,9490,10,1,9,Dịch vụ tốt
408,20844,5,6,2,Dịch vụ tốt
409,3933,1,3,1,Dịch vụ tốt
410,17499,2,2,2,Dịch vụ tốt
411,18621,4,10,3,Dịch vụ tốt
412,25561,4,5,5,Dịch vụ tốt
413,16777,1,5,10,Dịch vụ tốt
414,25372,2,6,4,Dịch vụ tốt
415,8527,2,4,10,Dịch vụ tốt
416,5198,8,8,8,Dịch vụ tốt
417,11384,1,1,1,Dịch vụ tốt
418,9292,9,4,5,Dịch vụ tốt
419,14349,4,8,4,Dịch vụ tốt
420,20059,10,1,4,Dịch vụ tốt
421,28922,10,4,9,Dịch vụ tốt
422,24266,7,3,8,Dịch vụ tốt
423,11330,6,10,1,Dịch vụ tốt
424,12687,10,6,6,Dịch vụ tốt
425,7093,7,8,8,Dịch vụ tốt
426,3538,2,4,9,Dịch vụ tốt
427,17381,8,1,2,Dịch vụ tốt
428,22685,4,5,3,Dịch vụ tốt
429,24843,4,7,2,Dịch vụ tốt
430,8104,8,9,9,Dịch vụ tốt
431,17176,3,5,6,Dịch vụ tốt
432,8563,10,6,4,Dịch vụ tốt
433,21212,8,2,1,Dịch vụ tốt
434,18097,6,8,3,Dịch vụ tốt
435,27606,3,6,8,Dịch vụ tốt
436,28322,2,1,2,Dịch vụ tốt
437,9422,6,1,4,Dịch vụ tốt
438,13612,8,7,6,Dịch vụ tốt
439,14283,10,9,3,Dịch vụ tốt
440,111,9,1,4,Dịch vụ tốt
441,20870,2,8,6,Dịch vụ tốt
442,27121,8,10,10,Dịch vụ tốt
443,18494,9,8,1,Dịch vụ tốt
444,22206,9,3,7,Dịch vụ tốt
445,8697,3,3,5,Dịch vụ tốt
446,24652,1,7,4,Dịch vụ tốt
447,2768,5,10,2,Dịch vụ tốt
448,13755,1,8,3,Dịch vụ tốt
449,9211,5,8,4,Dịch vụ tốt
450,14593,8,9,1,Dịch vụ tốt
451,6109,10,5,2,Dịch vụ tốt
452,24101,9,5,4,Dịch vụ tốt
453,21648,3,7,3,Dịch vụ tốt
454,1009,4,9,6,Dịch vụ tốt
455,11885,7,5,5,Dịch vụ tốt
456,3881,2,9,5,Dịch vụ tốt
457,29292,8,9,4,Dịch vụ tốt
458,26013,2,5,2,Dịch vụ tốt
459,8020,6,7,4,Dịch vụ tốt
460,15500,1,7,4,Dịch vụ tốt
461,623,10,5,1,Dịch vụ tốt
462,11867,8,1,7,Dịch vụ tốt
463,21398,2,2,8,Dịch vụ tốt
464,15090,7,7,1,Dịch vụ tốt
465,11125,1,10,5,Dịch vụ tốt
466,25128,2,5,7,Dịch vụ tốt
467,9986,6,8,3,Dịch vụ tốt
468,11356,5,8,4,Dịch vụ tốt
469,9426,5,6,7,Dịch vụ tốt
470,25672,10,5,2,Dịch vụ tốt
471,8813,10,2,8,Dịch vụ tốt
472,11990,10,9,4,Dịch vụ tốt
473,18075,7,8,1,Dịch vụ tốt
474,5179,3,9,3,Dịch vụ tốt
475,26999,7,1,2,Dịch vụ tốt
476,28275,9,5,9,Dịch vụ tốt
477,25095,4,2,6,Dịch vụ tốt
478,19985,5,8,9,Dịch vụ tốt
479,21093,2,3,2,Dịch vụ tốt
480,29277,2,9,5,Dịch vụ tốt
481,2303,1,9,6,Dịch vụ tốt
482,24683,3,4,10,Dịch vụ tốt
483,26396,8,2,7,Dịch vụ tốt
484,7303,7,7,9,Dịch vụ tốt
485,27561,1,3,9,Dịch vụ tốt
486,5742,4,8,10,Dịch vụ tốt
487,5699,5,4,1,Dịch vụ tốt
488,16387,10,8,4,Dịch vụ tốt
489,23470,5,2,10,Dịch vụ tốt
490,4503,5,7,5,Dịch vụ tốt
491,15652,1,3,8,Dịch vụ tốt
492,24282,6,4,5,Dịch vụ tốt
493,10775,9,2,3,Dịch vụ tốt
494,17271,1,7,6,Dịch vụ tốt
495,22405,3,2,7,Dịch vụ tốt
496,21555,1,4,4,Dịch vụ tốt
497,14345,9,7,6,Dịch vụ tốt
498,12486,7,2,8,Dịch vụ tốt
499,15278,9,9,5,Dịch vụ tốt
500,24598,5,7,7,Dịch vụ tốt
501,29119,8,7,6,Dịch vụ tốt
502,11262,2,3,1,Dịch vụ tốt
503,2730,1,6,10,Dịch vụ tốt
504,9318,3,10,3,Dịch vụ tốt
505,17130,5,10,6,Dịch vụ tốt
506,21475,3,10,8,Dịch vụ tốt
507,14095,8,9,3,Dịch vụ tốt
508,12647,1,1,5,Dịch vụ tốt
509,364,3,9,8,Dịch vụ tốt
510,7016,9,7,8,Dịch vụ tốt
511,22508,4,9,9,Dịch vụ tốt
512,16329,3,3,6,Dịch vụ tốt
513,8215,4,1,9,Dịch vụ tốt
514,13680,1,7,7,Dịch vụ tốt
515,19738,8,5,1,Dịch vụ tốt
516,635,9,5,8,Dịch vụ tốt
517,14842,3,1,8,Dịch vụ tốt
518,6392,4,7,3,Dịch vụ tốt
519,10405,4,3,10,Dịch vụ tốt
520,12359,8,6,4,Dịch vụ tốt
521,29949,9,3,6,Dịch vụ tốt
522,26295,8,4,4,Dịch vụ tốt
523,2633,1,5,3,Dịch vụ tốt
524,19015,10,4,8,Dịch vụ tốt
525,15742,5,7,5,Dịch vụ tốt
526,28869,3,5,8,Dịch vụ tốt
527,28677,6,1,9,Dịch vụ tốt
528,18264,4,9,4,Dịch vụ tốt
529,28710,4,9,1,Dịch vụ tốt
530,26739,9,1,3,Dịch vụ tốt
531,2401,2,4,1,Dịch vụ tốt
532,7426,7,8,9,Dịch vụ tốt
533,16102,7,3,9,Dịch vụ tốt
534,15705,9,2,10,Dịch vụ tốt
535,18367,6,10,9,Dịch vụ tốt
536,16288,8,8,2,Dịch vụ tốt
537,27076,4,1,3,Dịch vụ tốt
538,1069,1,7,1,Dịch vụ tốt
539,19751,3,2,4,Dịch vụ tốt
540,29515,6,10,8,Dịch vụ tốt
541,4623,4,8,4,Dịch vụ tốt
542,24113,5,4,9,Dịch vụ tốt
543,23328,9,3,4,Dịch vụ tốt
544,3222,8,7,7,Dịch vụ tốt
545,11984,4,7,9,Dịch vụ tốt
546,4009,1,9,7,Dịch vụ tốt
547,14511,8,1,1,Dịch vụ tốt
548,19849,1,7,1,Dịch vụ tốt
549,12271,5,10,8,Dịch vụ tốt
550,21687,3,1,7,Dịch vụ tốt
551,14219,2,5,1,Dịch vụ tốt
552,29890,9,1,10,Dịch vụ tốt
553,17582,9,3,4,Dịch vụ tốt
554,22220,5,8,6,Dịch vụ tốt
555,12766,3,6,4,Dịch vụ tốt
556,3679,3,2,5,Dịch vụ tốt
557,11686,1,10,4,Dịch vụ tốt
558,17259,7,3,5,Dịch vụ tốt
559,29875,7,2,1,Dịch vụ tốt
560,2657,9,5,5,Dịch vụ tốt
561,29498,10,3,6,Dịch vụ tốt
562,19959,2,3,7,Dịch vụ tốt
563,14523,6,3,3,Dịch vụ tốt
564,17981,8,8,1,Dịch vụ tốt
565,18154,4,7,10,Dịch vụ tốt
566,5821,6,4,1,Dịch vụ tốt
567,28605,10,8,2,Dịch vụ tốt
568,24039,2,6,6,Dịch vụ tốt
569,2134,10,9,1,Dịch vụ tốt
570,17754,1,8,9,Dịch vụ tốt
571,19748,8,5,4,Dịch vụ tốt
572,4418,2,4,9,Dịch vụ tốt
573,4992,1,1,3,Dịch vụ tốt
574,13173,7,4,1,Dịch vụ tốt
575,9449,1,5,2,Dịch vụ tốt
576,9606,6,8,8,Dịch vụ tốt
577,26272,1,5,5,Dịch vụ tốt
578,28059,2,3,6,Dịch vụ tốt
579,24327,2,6,3,Dịch vụ tốt
580,4605,9,9,3,Dịch vụ tốt
581,27564,4,7,3,Dịch vụ tốt
582,13170,7,3,10,Dịch vụ tốt
583,4909,1,4,4,Dịch vụ tốt
584,25633,8,4,5,Dịch vụ tốt
585,21404,7,5,1,Dịch vụ tốt
586,23247,4,4,1,Dịch vụ tốt
587,11372,8,1,10,Dịch vụ tốt
588,1817,4,5,3,Dịch vụ tốt
589,21099,10,10,7,Dịch vụ tốt
590,18256,3,4,8,Dịch vụ tốt
591,26218,5,4,6,Dịch vụ tốt
592,25287,4,10,8,Dịch vụ tốt
593,11940,4,9,3,Dịch vụ tốt
594,1160,5,4,9,Dịch vụ tốt
595,18165,6,1,6,Dịch vụ tốt
596,12634,2,10,1,Dịch vụ tốt
597,5305,7,8,6,Dịch vụ tốt
598,7134,10,1,3,Dịch vụ tốt
599,25039,5,8,3,Dịch vụ tốt
600,25883,2,7,5,Dịch vụ tốt
601,6855,1,1,1,Dịch vụ tốt
602,5891,3,1,5,Dịch vụ tốt
603,16012,3,8,3,Dịch vụ tốt
604,12326,8,6,8,Dịch vụ tốt
605,18643,1,10,2,Dịch vụ tốt
606,25357,2,10,1,Dịch vụ tốt
607,5846,4,10,5,Dịch vụ tốt
608,3100,4,3,7,Dịch vụ tốt
609,20118,6,9,4,Dịch vụ tốt
610,27726,8,10,5,Dịch vụ tốt
611,9251,9,7,10,Dịch vụ tốt
612,17355,8,5,2,Dịch vụ tốt
613,9835,8,5,8,Dịch vụ tốt
614,11188,5,4,10,Dịch vụ tốt
615,3333,3,1,8,Dịch vụ tốt
616,13307,6,2,10,Dịch vụ tốt
617,26785,3,7,10,Dịch vụ tốt
618,15985,1,6,4,Dịch vụ tốt
619,11971,6,10,4,Dịch vụ tốt
620,15421,2,5,6,Dịch vụ tốt
621,6948,4,1,3,Dịch vụ tốt
622,7935,2,1,4,Dịch vụ tốt
623,19511,6,7,1,Dịch vụ tốt
624,9052,1,9,1,Dịch vụ tốt
625,17818,1,9,9,Dịch vụ tốt
626,7959,4,6,7,Dịch vụ tốt
627,25355,2,9,7,Dịch vụ tốt
628,29382,2,7,7,Dịch vụ tốt
629,7396,8,3,4,Dịch vụ tốt
630,29359,7,2,10,Dịch vụ tốt
631,27161,5,1,1,Dịch vụ tốt
632,622,10,3,10,Dịch vụ tốt
633,20517,4,2,8,Dịch vụ tốt
