MACN,NGAY,DOANHTHU
1,2019-04-09,25000000
1,2019-04-10,32000000
1,2019-04-11,11000000
1,2019-04-12,23000000
1,2019-04-13,9000000
1,2019-04-14,47000000
1,2019-04-15,23000000
1,2019-04-16,50000000
1,2019-04-17,33000000
1,2019-04-18,50000000
1,2019-04-19,23000000
1,2019-04-20,43000000
1,2019-04-21,18000000
1,2019-04-22,32000000
1,2019-04-23,7000000
1,2019-04-24,34000000
1,2019-04-25,42000000
1,2019-04-26,21000000
1,2019-04-27,11000000
1,2019-04-28,39000000
1,2019-04-29,38000000
1,2019-04-30,39000000
1,2019-05-01,31000000
1,2019-05-02,10000000
1,2019-05-03,35000000
1,2019-05-04,32000000
1,2019-05-05,41000000
1,2019-05-06,18000000
1,2019-05-07,13000000
1,2019-05-08,32000000
1,2019-05-09,49000000
1,2019-05-10,26000000
1,2019-05-11,19000000
1,2019-05-12,25000000
1,2019-05-13,48000000
1,2019-05-14,18000000
1,2019-05-15,11000000
1,2019-05-16,48000000
1,2019-05-17,5000000
1,2019-05-18,23000000
1,2019-05-19,34000000
1,2019-05-20,33000000
1,2019-05-21,29000000
1,2019-05-22,20000000
1,2019-05-23,21000000
1,2019-05-24,22000000
1,2019-05-25,18000000
1,2019-05-26,14000000
1,2019-05-27,29000000
1,2019-05-28,46000000
1,2019-05-29,25000000
1,2019-05-30,47000000
1,2019-05-31,39000000
1,2019-06-01,45000000
1,2019-06-02,50000000
1,2019-06-03,22000000
1,2019-06-04,16000000
1,2019-06-05,37000000
1,2019-06-06,26000000
1,2019-06-07,37000000
1,2019-06-08,15000000
1,2019-06-09,38000000
1,2019-06-10,21000000
1,2019-06-11,49000000
1,2019-06-12,38000000
1,2019-06-13,21000000
1,2019-06-14,22000000
1,2019-06-15,50000000
1,2019-06-16,35000000
1,2019-06-17,10000000
1,2019-06-18,18000000
1,2019-06-19,24000000
1,2019-06-20,44000000
1,2019-06-21,25000000
1,2019-06-22,47000000
1,2019-06-23,22000000
1,2019-06-24,23000000
1,2019-06-25,45000000
1,2019-06-26,28000000
1,2019-06-27,28000000
1,2019-06-28,9000000
1,2019-06-29,12000000
1,2019-06-30,22000000
1,2019-07-01,11000000
1,2019-07-02,10000000
1,2019-07-03,48000000
1,2019-07-04,49000000
1,2019-07-05,13000000
1,2019-07-06,48000000
1,2019-07-07,10000000
1,2019-07-08,42000000
1,2019-07-09,35000000
1,2019-07-10,32000000
1,2019-07-11,44000000
1,2019-07-12,16000000
1,2019-07-13,30000000
1,2019-07-14,48000000
1,2019-07-15,44000000
1,2019-07-16,39000000
1,2019-07-17,16000000
1,2019-07-18,44000000
1,2019-07-19,8000000
1,2019-07-20,46000000
1,2019-07-21,21000000
1,2019-07-22,8000000
1,2019-07-23,43000000
1,2019-07-24,43000000
1,2019-07-25,11000000
1,2019-07-26,22000000
1,2019-07-27,15000000
1,2019-07-28,34000000
1,2019-07-29,6000000
1,2019-07-30,50000000
1,2019-07-31,25000000
1,2019-08-01,46000000
1,2019-08-02,10000000
1,2019-08-03,27000000
1,2019-08-04,5000000
1,2019-08-05,20000000
1,2019-08-06,20000000
1,2019-08-07,16000000
1,2019-08-08,49000000
1,2019-08-09,44000000
1,2019-08-10,21000000
1,2019-08-11,39000000
1,2019-08-12,6000000
1,2019-08-13,38000000
1,2019-08-14,5000000
1,2019-08-15,39000000
1,2019-08-16,24000000
1,2019-08-17,6000000
1,2019-08-18,34000000
1,2019-08-19,11000000
1,2019-08-20,28000000
1,2019-08-21,50000000
1,2019-08-22,25000000
1,2019-08-23,18000000
1,2019-08-24,25000000
1,2019-08-25,13000000
1,2019-08-26,49000000
1,2019-08-27,32000000
1,2019-08-28,37000000
1,2019-08-29,8000000
1,2019-08-30,32000000
1,2019-08-31,39000000
1,2019-09-01,19000000
1,2019-09-02,29000000
1,2019-09-03,7000000
1,2019-09-04,44000000
1,2019-09-05,10000000
1,2019-09-06,48000000
1,2019-09-07,34000000
1,2019-09-08,46000000
1,2019-09-09,48000000
1,2019-09-10,48000000
1,2019-09-11,18000000
1,2019-09-12,21000000
1,2019-09-13,35000000
1,2019-09-14,9000000
1,2019-09-15,20000000
1,2019-09-16,23000000
1,2019-09-17,47000000
1,2019-09-18,31000000
1,2019-09-19,45000000
1,2019-09-20,41000000
1,2019-09-21,8000000
1,2019-09-22,24000000
1,2019-09-23,50000000
1,2019-09-24,16000000
1,2019-09-25,15000000
1,2019-09-26,23000000
1,2019-09-27,21000000
1,2019-09-28,40000000
1,2019-09-29,38000000
1,2019-09-30,14000000
1,2019-10-01,28000000
1,2019-10-02,47000000
1,2019-10-03,7000000
1,2019-10-04,38000000
1,2019-10-05,35000000
1,2019-10-06,40000000
1,2019-10-07,48000000
1,2019-10-08,24000000
1,2019-10-09,45000000
1,2019-10-10,33000000
1,2019-10-11,33000000
1,2019-10-12,25000000
1,2019-10-13,47000000
1,2019-10-14,48000000
1,2019-10-15,6000000
1,2019-10-16,32000000
1,2019-10-17,36000000
1,2019-10-18,43000000
1,2019-10-19,19000000
1,2019-10-20,32000000
1,2019-10-21,20000000
1,2019-10-22,15000000
1,2019-10-23,8000000
1,2019-10-24,15000000
1,2019-10-25,29000000
1,2019-10-26,24000000
1,2019-10-27,23000000
1,2019-10-28,30000000
1,2019-10-29,33000000
1,2019-10-30,41000000
1,2019-10-31,25000000
1,2019-11-01,46000000
1,2019-11-02,41000000
1,2019-11-03,43000000
1,2019-11-04,19000000
1,2019-11-05,13000000
1,2019-11-06,21000000
1,2019-11-07,30000000
1,2019-11-08,35000000
1,2019-11-09,6000000
1,2019-11-10,13000000
1,2019-11-11,19000000
1,2019-11-12,43000000
1,2019-11-13,9000000
1,2019-11-14,27000000
1,2019-11-15,50000000
1,2019-11-16,14000000
1,2019-11-17,38000000
1,2019-11-18,35000000
1,2019-11-19,34000000
1,2019-11-20,22000000
1,2019-11-21,6000000
1,2019-11-22,11000000
1,2019-11-23,20000000
1,2019-11-24,43000000
1,2019-11-25,12000000
1,2019-11-26,37000000
1,2019-11-27,30000000
1,2019-11-28,5000000
1,2019-11-29,5000000
1,2019-11-30,28000000
1,2019-12-01,14000000
1,2019-12-02,23000000
1,2019-12-03,12000000
1,2019-12-04,21000000
1,2019-12-05,41000000
1,2019-12-06,29000000
1,2019-12-07,31000000
1,2019-12-08,13000000
1,2019-12-09,42000000
1,2019-12-10,45000000
1,2019-12-11,27000000
1,2019-12-12,45000000
1,2019-12-13,22000000
1,2019-12-14,49000000
1,2019-12-15,33000000
1,2019-12-16,8000000
1,2019-12-17,50000000
1,2019-12-18,10000000
1,2019-12-19,49000000
1,2019-12-20,12000000
1,2019-12-21,31000000
1,2019-12-22,9000000
1,2019-12-23,38000000
1,2019-12-24,8000000
1,2019-12-25,50000000
1,2019-12-26,36000000
1,2019-12-27,9000000
1,2019-12-28,7000000
1,2019-12-29,27000000
1,2019-12-30,7000000
1,2019-12-31,5000000
1,2020-01-01,37000000
1,2020-01-02,15000000
1,2020-01-03,8000000
1,2020-01-04,32000000
1,2020-01-05,35000000
1,2020-01-06,13000000
1,2020-01-07,24000000
1,2020-01-08,19000000
1,2020-01-09,34000000
1,2020-01-10,45000000
1,2020-01-11,21000000
1,2020-01-12,27000000
1,2020-01-13,47000000
1,2020-01-14,29000000
1,2020-01-15,44000000
1,2020-01-16,14000000
1,2020-01-17,16000000
1,2020-01-18,50000000
1,2020-01-19,30000000
1,2020-01-20,14000000
1,2020-01-21,48000000
1,2020-01-22,41000000
1,2020-01-23,46000000
1,2020-01-24,45000000
1,2020-01-25,31000000
1,2020-01-26,36000000
1,2020-01-27,12000000
1,2020-01-28,15000000
1,2020-01-29,34000000
1,2020-01-30,22000000
1,2020-01-31,25000000
1,2020-02-01,49000000
1,2020-02-02,48000000
1,2020-02-03,19000000
1,2020-02-04,28000000
1,2020-02-05,48000000
1,2020-02-06,9000000
1,2020-02-07,8000000
1,2020-02-08,27000000
1,2020-02-09,14000000
1,2020-02-10,6000000
1,2020-02-11,38000000
1,2020-02-12,46000000
1,2020-02-13,48000000
1,2020-02-14,19000000
1,2020-02-15,33000000
1,2020-02-16,21000000
1,2020-02-17,14000000
1,2020-02-18,23000000
1,2020-02-19,19000000
1,2020-02-20,31000000
1,2020-02-21,33000000
1,2020-02-22,12000000
1,2020-02-23,28000000
1,2020-02-24,10000000
1,2020-02-25,28000000
1,2020-02-26,29000000
1,2020-02-27,33000000
1,2020-02-28,28000000
1,2020-02-29,41000000
1,2020-03-01,10000000
1,2020-03-02,42000000
1,2020-03-03,12000000
1,2020-03-04,38000000
1,2020-03-05,23000000
1,2020-03-06,5000000
1,2020-03-07,22000000
1,2020-03-08,15000000
1,2020-03-09,31000000
1,2020-03-10,18000000
1,2020-03-11,34000000
1,2020-03-12,32000000
1,2020-03-13,23000000
1,2020-03-14,15000000
1,2020-03-15,29000000
1,2020-03-16,30000000
1,2020-03-17,14000000
1,2020-03-18,37000000
1,2020-03-19,25000000
1,2020-03-20,49000000
1,2020-03-21,31000000
1,2020-03-22,18000000
1,2020-03-23,50000000
1,2020-03-24,34000000
1,2020-03-25,12000000
1,2020-03-26,26000000
1,2020-03-27,25000000
1,2020-03-28,42000000
1,2020-03-29,43000000
1,2020-03-30,22000000
1,2020-03-31,21000000
1,2020-04-01,36000000
1,2020-04-02,36000000
1,2020-04-03,23000000
1,2020-04-04,25000000
1,2020-04-05,22000000
1,2020-04-06,45000000
1,2020-04-07,42000000
1,2020-04-08,15000000
1,2020-04-09,19000000
1,2020-04-10,25000000
1,2020-04-11,46000000
1,2020-04-12,32000000
1,2020-04-13,19000000
1,2020-04-14,10000000
1,2020-04-15,40000000
1,2020-04-16,10000000
1,2020-04-17,47000000
1,2020-04-18,12000000
1,2020-04-19,34000000
1,2020-04-20,13000000
1,2020-04-21,36000000
1,2020-04-22,32000000
1,2020-04-23,13000000
1,2020-04-24,37000000
1,2020-04-25,40000000
1,2020-04-26,7000000
1,2020-04-27,23000000
1,2020-04-28,6000000
1,2020-04-29,33000000
1,2020-04-30,27000000
1,2020-05-01,18000000
1,2020-05-02,31000000
1,2020-05-03,31000000
1,2020-05-04,49000000
1,2020-05-05,10000000
1,2020-05-06,28000000
1,2020-05-07,21000000
1,2020-05-08,33000000
1,2020-05-09,35000000
1,2020-05-10,30000000
1,2020-05-11,16000000
1,2020-05-12,37000000
1,2020-05-13,45000000
1,2020-05-14,30000000
1,2020-05-15,6000000
1,2020-05-16,38000000
1,2020-05-17,30000000
1,2020-05-18,11000000
1,2020-05-19,24000000
1,2020-05-20,22000000
1,2020-05-21,13000000
1,2020-05-22,49000000
1,2020-05-23,27000000
1,2020-05-24,17000000
1,2020-05-25,40000000
1,2020-05-26,49000000
1,2020-05-27,12000000
1,2020-05-28,38000000
1,2020-05-29,30000000
1,2020-05-30,45000000
1,2020-05-31,38000000
1,2020-06-01,37000000
1,2020-06-02,34000000
1,2020-06-03,23000000
1,2020-06-04,30000000
1,2020-06-05,27000000
1,2020-06-06,15000000
1,2020-06-07,30000000
1,2020-06-08,33000000
1,2020-06-09,48000000
1,2020-06-10,38000000
1,2020-06-11,30000000
1,2020-06-12,22000000
1,2020-06-13,36000000
1,2020-06-14,9000000
1,2020-06-15,40000000
1,2020-06-16,5000000
1,2020-06-17,29000000
1,2020-06-18,31000000
1,2020-06-19,39000000
1,2020-06-20,50000000
1,2020-06-21,45000000
1,2020-06-22,13000000
1,2020-06-23,16000000
1,2020-06-24,43000000
1,2020-06-25,33000000
1,2020-06-26,44000000
1,2020-06-27,28000000
1,2020-06-28,50000000
1,2020-06-29,48000000
1,2020-06-30,32000000
1,2020-07-01,37000000
1,2020-07-02,14000000
1,2020-07-03,19000000
1,2020-07-04,22000000
1,2020-07-05,45000000
1,2020-07-06,17000000
1,2020-07-07,7000000
1,2020-07-08,31000000
1,2020-07-09,28000000
1,2020-07-10,26000000
1,2020-07-11,23000000
1,2020-07-12,21000000
1,2020-07-13,46000000
1,2020-07-14,39000000
1,2020-07-15,16000000
1,2020-07-16,11000000
1,2020-07-17,10000000
1,2020-07-18,30000000
1,2020-07-19,39000000
1,2020-07-20,23000000
1,2020-07-21,6000000
1,2020-07-22,48000000
1,2020-07-23,39000000
1,2020-07-24,18000000
1,2020-07-25,9000000
1,2020-07-26,9000000
1,2020-07-27,8000000
1,2020-07-28,41000000
1,2020-07-29,43000000
1,2020-07-30,29000000
1,2020-07-31,33000000
1,2020-08-01,32000000
1,2020-08-02,33000000
1,2020-08-03,13000000
1,2020-08-04,45000000
1,2020-08-05,13000000
1,2020-08-06,43000000
1,2020-08-07,35000000
1,2020-08-08,36000000
1,2020-08-09,29000000
1,2020-08-10,26000000
1,2020-08-11,32000000
1,2020-08-12,49000000
1,2020-08-13,11000000
1,2020-08-14,26000000
1,2020-08-15,7000000
1,2020-08-16,29000000
1,2020-08-17,17000000
1,2020-08-18,34000000
1,2020-08-19,12000000
1,2020-08-20,17000000
1,2020-08-21,34000000
1,2020-08-22,27000000
1,2020-08-23,21000000
1,2020-08-24,31000000
1,2020-08-25,24000000
1,2020-08-26,50000000
1,2020-08-27,5000000
1,2020-08-28,39000000
1,2020-08-29,38000000
1,2020-08-30,36000000
1,2020-08-31,10000000
1,2020-09-01,15000000
1,2020-09-02,8000000
1,2020-09-03,36000000
1,2020-09-04,16000000
1,2020-09-05,31000000
1,2020-09-06,19000000
1,2020-09-07,48000000
1,2020-09-08,27000000
1,2020-09-09,28000000
1,2020-09-10,26000000
1,2020-09-11,5000000
1,2020-09-12,46000000
1,2020-09-13,9000000
1,2020-09-14,7000000
1,2020-09-15,17000000
1,2020-09-16,17000000
1,2020-09-17,29000000
1,2020-09-18,27000000
1,2020-09-19,12000000
1,2020-09-20,32000000
1,2020-09-21,32000000
1,2020-09-22,36000000
1,2020-09-23,50000000
1,2020-09-24,38000000
1,2020-09-25,30000000
1,2020-09-26,8000000
1,2020-09-27,28000000
1,2020-09-28,9000000
1,2020-09-29,19000000
1,2020-09-30,38000000
1,2020-10-01,19000000
1,2020-10-02,27000000
1,2020-10-03,23000000
1,2020-10-04,5000000
1,2020-10-05,28000000
1,2020-10-06,9000000
1,2020-10-07,39000000
1,2020-10-08,42000000
1,2020-10-09,17000000
1,2020-10-10,9000000
1,2020-10-11,22000000
1,2020-10-12,8000000
1,2020-10-13,36000000
1,2020-10-14,16000000
1,2020-10-15,9000000
1,2020-10-16,43000000
1,2020-10-17,20000000
1,2020-10-18,34000000
1,2020-10-19,25000000
1,2020-10-20,10000000
1,2020-10-21,49000000
1,2020-10-22,33000000
1,2020-10-23,15000000
1,2020-10-24,29000000
1,2020-10-25,36000000
1,2020-10-26,45000000
1,2020-10-27,14000000
1,2020-10-28,50000000
1,2020-10-29,25000000
1,2020-10-30,22000000
1,2020-10-31,13000000
1,2020-11-01,8000000
1,2020-11-02,38000000
1,2020-11-03,34000000
1,2020-11-04,12000000
1,2020-11-05,30000000
1,2020-11-06,7000000
1,2020-11-07,26000000
1,2020-11-08,48000000
1,2020-11-09,16000000
1,2020-11-10,18000000
1,2020-11-11,13000000
1,2020-11-12,19000000
1,2020-11-13,30000000
1,2020-11-14,21000000
1,2020-11-15,23000000
1,2020-11-16,31000000
1,2020-11-17,28000000
1,2020-11-18,43000000
1,2020-11-19,19000000
1,2020-11-20,24000000
1,2020-11-21,11000000
1,2020-11-22,13000000
1,2020-11-23,10000000
1,2020-11-24,15000000
1,2020-11-25,13000000
1,2020-11-26,24000000
1,2020-11-27,35000000
1,2020-11-28,18000000
1,2020-11-29,41000000
1,2020-11-30,31000000
1,2020-12-01,39000000
1,2020-12-02,17000000
1,2020-12-03,12000000
1,2020-12-04,42000000
1,2020-12-05,5000000
1,2020-12-06,11000000
1,2020-12-07,44000000
1,2020-12-08,26000000
1,2020-12-09,31000000
1,2020-12-10,22000000
1,2020-12-11,43000000
1,2020-12-12,26000000
1,2020-12-13,38000000
1,2020-12-14,46000000
1,2020-12-15,27000000
1,2020-12-16,36000000
1,2020-12-17,7000000
1,2020-12-18,24000000
1,2020-12-19,35000000
1,2020-12-20,33000000
1,2020-12-21,14000000
1,2020-12-22,44000000
1,2020-12-23,36000000
1,2020-12-24,34000000
1,2020-12-25,28000000
1,2020-12-26,30000000
1,2020-12-27,10000000
1,2020-12-28,36000000
1,2020-12-29,10000000
1,2020-12-30,34000000
1,2020-12-31,27000000
1,2021-01-01,5000000
1,2021-01-02,49000000
1,2021-01-03,28000000
1,2021-01-04,9000000
1,2021-01-05,18000000
1,2021-01-06,31000000
1,2021-01-07,29000000
1,2021-01-08,16000000
1,2021-01-09,12000000
1,2021-01-10,6000000
1,2021-01-11,14000000
1,2021-01-12,30000000
1,2021-01-13,7000000
1,2021-01-14,27000000
1,2021-01-15,37000000
1,2021-01-16,43000000
1,2021-01-17,38000000
1,2021-01-18,38000000
1,2021-01-19,33000000
1,2021-01-20,14000000
1,2021-01-21,34000000
1,2021-01-22,40000000
1,2021-01-23,7000000
1,2021-01-24,33000000
1,2021-01-25,25000000
1,2021-01-26,31000000
1,2021-01-27,39000000
1,2021-01-28,37000000
1,2021-01-29,35000000
1,2021-01-30,37000000
1,2021-01-31,9000000
1,2021-02-01,13000000
1,2021-02-02,19000000
1,2021-02-03,40000000
1,2021-02-04,26000000
1,2021-02-05,48000000
1,2021-02-06,6000000
1,2021-02-07,31000000
1,2021-02-08,14000000
1,2021-02-09,49000000
1,2021-02-10,35000000
1,2021-02-11,37000000
1,2021-02-12,34000000
1,2021-02-13,23000000
1,2021-02-14,9000000
1,2021-02-15,30000000
1,2021-02-16,24000000
1,2021-02-17,43000000
1,2021-02-18,48000000
1,2021-02-19,39000000
1,2021-02-20,43000000
1,2021-02-21,19000000
1,2021-02-22,39000000
1,2021-02-23,34000000
1,2021-02-24,19000000
1,2021-02-25,17000000
1,2021-02-26,14000000
1,2021-02-27,20000000
1,2021-02-28,26000000
1,2021-03-01,35000000
1,2021-03-02,12000000
1,2021-03-03,46000000
1,2021-03-04,33000000
1,2021-03-05,10000000
1,2021-03-06,30000000
1,2021-03-07,12000000
1,2021-03-08,40000000
1,2021-03-09,17000000
1,2021-03-10,17000000
1,2021-03-11,21000000
1,2021-03-12,36000000
1,2021-03-13,38000000
1,2021-03-14,44000000
1,2021-03-15,28000000
1,2021-03-16,9000000
1,2021-03-17,5000000
1,2021-03-18,23000000
1,2021-03-19,24000000
1,2021-03-20,33000000
1,2021-03-21,10000000
1,2021-03-22,26000000
1,2021-03-23,44000000
1,2021-03-24,48000000
1,2021-03-25,33000000
1,2021-03-26,29000000
1,2021-03-27,41000000
1,2021-03-28,48000000
1,2021-03-29,14000000
1,2021-03-30,22000000
1,2021-03-31,8000000
1,2021-04-01,21000000
1,2021-04-02,10000000
1,2021-04-03,5000000
1,2021-04-04,50000000
1,2021-04-05,22000000
1,2021-04-06,32000000
1,2021-04-07,6000000
1,2021-04-08,16000000
1,2021-04-09,16000000
1,2021-04-10,11000000
1,2021-04-11,13000000
1,2021-04-12,38000000
1,2021-04-13,31000000
1,2021-04-14,10000000
1,2021-04-15,32000000
1,2021-04-16,14000000
1,2021-04-17,6000000
1,2021-04-18,43000000
1,2021-04-19,50000000
1,2021-04-20,30000000
1,2021-04-21,20000000
1,2021-04-22,9000000
1,2021-04-23,18000000
1,2021-04-24,19000000
1,2021-04-25,45000000
1,2021-04-26,22000000
1,2021-04-27,17000000
1,2021-04-28,26000000
1,2021-04-29,7000000
1,2021-04-30,48000000
1,2021-05-01,37000000
1,2021-05-02,39000000
1,2021-05-03,27000000
1,2021-05-04,49000000
1,2021-05-05,19000000
1,2021-05-06,37000000
1,2021-05-07,49000000
1,2021-05-08,35000000
1,2021-05-09,19000000
1,2021-05-10,29000000
1,2021-05-11,7000000
1,2021-05-12,32000000
1,2021-05-13,34000000
1,2021-05-14,29000000
1,2021-05-15,9000000
1,2021-05-16,41000000
1,2021-05-17,7000000
1,2021-05-18,12000000
1,2021-05-19,17000000
1,2021-05-20,31000000
1,2021-05-21,12000000
1,2021-05-22,46000000
1,2021-05-23,21000000
1,2021-05-24,12000000
1,2021-05-25,37000000
1,2021-05-26,45000000
1,2021-05-27,31000000
1,2021-05-28,30000000
1,2021-05-29,41000000
1,2021-05-30,46000000
1,2021-05-31,36000000
1,2021-06-01,29000000
1,2021-06-02,36000000
1,2021-06-03,46000000
1,2021-06-04,11000000
1,2021-06-05,8000000
1,2021-06-06,31000000
1,2021-06-07,50000000
1,2021-06-08,15000000
1,2021-06-09,22000000
1,2021-06-10,17000000
1,2021-06-11,46000000
1,2021-06-12,41000000
1,2021-06-13,25000000
1,2021-06-14,37000000
1,2021-06-15,9000000
1,2021-06-16,7000000
1,2021-06-17,28000000
1,2021-06-18,39000000
1,2021-06-19,31000000
1,2021-06-20,13000000
1,2021-06-21,31000000
1,2021-06-22,37000000
1,2021-06-23,32000000
1,2021-06-24,14000000
1,2021-06-25,12000000
1,2021-06-26,19000000
1,2021-06-27,8000000
1,2021-06-28,49000000
1,2021-06-29,43000000
1,2021-06-30,44000000
1,2021-07-01,33000000
1,2021-07-02,36000000
1,2021-07-03,48000000
1,2021-07-04,26000000
1,2021-07-05,34000000
1,2021-07-06,15000000
1,2021-07-07,20000000
1,2021-07-08,8000000
1,2021-07-09,22000000
1,2021-07-10,39000000
1,2021-07-11,30000000
1,2021-07-12,45000000
1,2021-07-13,7000000
1,2021-07-14,11000000
1,2021-07-15,36000000
1,2021-07-16,5000000
1,2021-07-17,44000000
1,2021-07-18,8000000
1,2021-07-19,41000000
1,2021-07-20,24000000
1,2021-07-21,25000000
1,2021-07-22,34000000
1,2021-07-23,42000000
1,2021-07-24,43000000
1,2021-07-25,25000000
1,2021-07-26,15000000
1,2021-07-27,6000000
1,2021-07-28,22000000
1,2021-07-29,10000000
1,2021-07-30,34000000
1,2021-07-31,46000000
1,2021-08-01,16000000
1,2021-08-02,14000000
1,2021-08-03,28000000
1,2021-08-04,19000000
1,2021-08-05,5000000
1,2021-08-06,36000000
1,2021-08-07,29000000
1,2021-08-08,41000000
1,2021-08-09,26000000
1,2021-08-10,26000000
1,2021-08-11,48000000
1,2021-08-12,29000000
1,2021-08-13,16000000
1,2021-08-14,24000000
1,2021-08-15,26000000
1,2021-08-16,38000000
1,2021-08-17,29000000
1,2021-08-18,40000000
1,2021-08-19,41000000
1,2021-08-20,17000000
1,2021-08-21,26000000
1,2021-08-22,8000000
1,2021-08-23,16000000
1,2021-08-24,29000000
1,2021-08-25,16000000
1,2021-08-26,14000000
1,2021-08-27,20000000
1,2021-08-28,20000000
1,2021-08-29,10000000
1,2021-08-30,24000000
1,2021-08-31,9000000
1,2021-09-01,25000000
1,2021-09-02,50000000
1,2021-09-03,37000000
1,2021-09-04,10000000
1,2021-09-05,39000000
1,2021-09-06,27000000
1,2021-09-07,22000000
1,2021-09-08,30000000
1,2021-09-09,39000000
1,2021-09-10,6000000
1,2021-09-11,33000000
1,2021-09-12,30000000
1,2021-09-13,7000000
1,2021-09-14,43000000
1,2021-09-15,11000000
1,2021-09-16,28000000
1,2021-09-17,35000000
1,2021-09-18,15000000
1,2021-09-19,33000000
1,2021-09-20,9000000
1,2021-09-21,29000000
1,2021-09-22,28000000
1,2021-09-23,13000000
1,2021-09-24,47000000
1,2021-09-25,44000000
1,2021-09-26,24000000
1,2021-09-27,32000000
1,2021-09-28,24000000
1,2021-09-29,19000000
1,2021-09-30,24000000
1,2021-10-01,46000000
1,2021-10-02,40000000
1,2021-10-03,13000000
1,2021-10-04,28000000
1,2021-10-05,46000000
1,2021-10-06,10000000
1,2021-10-07,14000000
1,2021-10-08,18000000
1,2021-10-09,24000000
1,2021-10-10,36000000
1,2021-10-11,5000000
1,2021-10-12,39000000
1,2021-10-13,17000000
1,2021-10-14,49000000
1,2021-10-15,34000000
1,2021-10-16,21000000
1,2021-10-17,6000000
1,2021-10-18,49000000
1,2021-10-19,39000000
1,2021-10-20,32000000
1,2021-10-21,31000000
1,2021-10-22,29000000
1,2021-10-23,6000000
1,2021-10-24,31000000
1,2021-10-25,5000000
1,2021-10-26,49000000
1,2021-10-27,5000000
1,2021-10-28,25000000
1,2021-10-29,33000000
1,2021-10-30,14000000
1,2021-10-31,45000000
1,2021-11-01,39000000
1,2021-11-02,17000000
1,2021-11-03,41000000
1,2021-11-04,32000000
1,2021-11-05,18000000
1,2021-11-06,6000000
1,2021-11-07,26000000
1,2021-11-08,50000000
1,2021-11-09,31000000
1,2021-11-10,26000000
1,2021-11-11,10000000
1,2021-11-12,25000000
1,2021-11-13,28000000
1,2021-11-14,22000000
1,2021-11-15,6000000
1,2021-11-16,32000000
1,2021-11-17,48000000
1,2021-11-18,18000000
1,2021-11-19,11000000
1,2021-11-20,49000000
1,2021-11-21,24000000
1,2021-11-22,8000000
1,2021-11-23,28000000
1,2021-11-24,18000000
1,2021-11-25,48000000
1,2021-11-26,41000000
1,2021-11-27,33000000
1,2021-11-28,39000000
1,2021-11-29,28000000
1,2021-11-30,31000000
1,2021-12-01,6000000
1,2021-12-02,6000000
1,2021-12-03,34000000
1,2021-12-04,29000000
1,2021-12-05,37000000
1,2021-12-06,21000000
1,2021-12-07,44000000
1,2021-12-08,5000000
1,2021-12-09,7000000
